Citation;Taxa studied;Biome;Realm;Country;Latitude (dec °);Longitude (dec °);Elev. (masl);RG sites;OG sites;Repl. data?;Author;Year;reference
Medellín and Equihua (1998);NVSM;Broadleaf;NT;Mexico;16.117;-90.933;120;4;4;no;Medellín and Equihua;1998;Medellín, R. A., and M. Equihua. 1998. Mammal species richness and habitat use in rainforest and abandoned agricultural fields in Chiapas, Mexico. Journal of Applied Ecology 35:13–23.
Medellín et al. (2000);Bats;Broadleaf;NT;Mexico;16.117;-90.933;120;3;3;no;Medellín;2000;Medellín, R. A., M. Equihua, and M. A. Amin. 2000. Bat Diversity and Abundance as Indicators of Disturbance in Neotropical Rainforests. Conservation Biology 14:1666–1675.
Michael et al. (2011);Reptiles;Transition;AA;Australia;-35.493;147.308;380;123;77;yes;Michael;2011;Michael, D. R., R. B. Cunningham, and D. B. Lindenmayer. 2011. Regrowth and revegetation in temperate Australia presents a conservation challenge for reptile fauna in agricultural landscapes. Biological Conservation 144:407–415.
Moola and Vasseur (2004);Plants;Conifer;NA;Canada;44.083;-64.767;50;16;9;no;Moola and Vasseur;2004;Moola, F. M., and L. Vasseur. 2004. Recovery of late-seral vascular plants in a chronosequence of post-clearcut forest stands in coastal Nova Scotia, Canada. Plant Ecology 172:183–197.
Nakagawa et al. (2006);NVSM;Broadleaf;IM;Malaysia;4.198;114.043;175;9;5;yes;Nakagawa;2006;Nakagawa, M., H. Miguchi, and T. Nakashizuka. 2006. The effects of various forest uses on small mammal communities in Sarawak, Malaysia. Forest Ecology and Management 231:55–62.
Nicolas et al. (2009);NVSM;Broadleaf;AT;Guinea;8.330;-9.330;800;20;4;yes;Nicolas;2009;Nicolas, V., P. Barrière, A. Tapiero, and M. Colyn. 2009. Shrew species diversity and abundance in Ziama Biosphere Reserve, Guinea: comparison among primary forest, degraded forest and restoration plots. Biodiversity and Conservation 18:2043–2061.
O'Dea and Whittaker (2007)*;Birds;Broadleaf;NT;Ecuador;0.078;-78.684;1800;50;50;yes;O'Dea and Whittaker;2007;O’Dea, N., and R. J. Whittaker. 2007. How resilient are Andean montane forest bird communities to habitat degradation? Biodiversity Conservation 16:1131–1159.
Owiunji and Plumptre (1998);Birds;Transition;AT;Uganda;1.750;31.500;1100;3;2;yes;Owiunji and Plumptre;1998;Owiunji, I., and A. J. Plumptre. 1998. Bird communities in logged and unlogged compartments in Budongo Forest, Uganda. Forest Ecology and Management 108:115–126.
Palladini et al. (2007);Ants;Conifer;NA;United States;42.100;-123.200;1400;4;6;yes;Palladini;2007;Palladini, J. D., M. G. Jones, N. J. Sanders, and E. S. Jules. 2007. The recovery of ant communities in regenerating temperate conifer forests. Forest Ecology and Management 242:619–624.
Parrotta and Knowles (2001);Plants;Broadleaf;NT;Brazil;-1.667;-56.450;180;5;1;no;Parrotta and Knowles;2001;Parrotta, J. A., and O. H. Knowles. 2001. Restoring tropical forests on lands mined for bauxite: Examples from the Brazilian Amazon. Ecological Engineering 17:219–239.
Parry et al. (2007);Large mammals and birds;Broadleaf;NT;Brazil;-0.913;-52.561;40;4;4;no;Parry;2007;Parry, L., J. Barlow, and C. A. Peres. 2007. Large-vertebrate assemblages of primary and secondary forests in the Brazilian Amazon. Journal of Tropical Ecology 23:653–662.
Pascarella et al. (2000);Plants;Broadleaf;NT;Puerto Rico;18.000;-66.100;500;33;4;no;Pascarella;2000;Pascarella, J. B., T. M. Aide, M. I. Serrano, and J. K. Zimmerman. 2000. Land-Use History and Forest Regeneration in the Cayey Mountains, Puerto Rico. Ecosystems 3:217–228.
Patten (1997);NVSM;Open;NA;United States;33.893;-116.573;230;1;1;no;Patten;1997;Patten, M. A. 1997. Reestablishment of a Rodent Community in Restored Desert Scrub. Restoration Ecology 5:156–161.
Pawar et al. (2004);Reptiles and amphibians;Broadleaf;IM;India;22.807;92.566;100;5;3;yes;Pawar;2004;Pawar, S., G. Rawat, and B. Choudhury. 2004. Recovery of frog and lizard communities following primary habitat alteration in Mizoram, Northeast India. BMC Ecology 4:10.
Peh et al. (2005);Birds (forest);Broadleaf;IM;Malaysia;2.100;103.300;300;2;2;yes;Peh;2005;Peh, K. S.-H., J. de Jong, N. S. Sodhi, S. L.-H. Lim, and C. A.-M. Yap. 2005. Lowland rainforest avifauna and human disturbance: persistence of primary forest birds in selectively logged forests and mixed-rural habitats of southern Peninsular Malaysia. Biological Conservation 123:489–505.
Piqueray et al. (2011);Plants;Open;PA;Belgium;50.104;4.910;250;12;8;no;Piqueray;2011;Piqueray, J., G. Bottin, L.-M. Delescaille, E. Bisteau, G. Colinet, and G. Mahy. 2011. Rapid restoration of a species-rich ecosystem assessed from soil and vegetation indicators: The case of calcareous grasslands restored from forest stands. Ecological Indicators 11:724–733.
Powers et al. (2009)*;Plants;Transition;NT;Costa Rica;10.840;85.620;550;22;3;yes;Powers;2009;Powers, J. S., J. M. Becknell, J. Irving, and D. Pèrez-Aviles. 2009. Diversity and structure of regenerating tropical dry forests in Costa Rica: Geographic patterns and environmental drivers. Forest Ecology and Management 258:959–970.
