"id_comm";"id_study"
"Noske et al. 2008_Epiphytes Ecuador_R2_NA";"PR_Noske et al. 2008_Epiphytes Ecuador"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_100_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_103_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_106_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_107_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_109_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_110_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_112_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_113_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_114_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_115_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_116_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_117_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_121_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_123_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_124_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_127_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_128_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_130_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_131_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_132_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_133_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_134_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_135_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_136_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_137_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_138_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_139_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_140_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_141_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_142_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_143_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_144_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_145_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_146_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_147_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_148_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_149_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_150_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_151_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_152_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_153_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_154_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_156_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_157_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_158_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_159_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_160_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_163_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_165_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_168_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_169_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_170_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_171_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_172_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_175_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_177_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_179_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_180_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_181_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_182_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_183_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_184_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_185_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_186_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_187_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_194_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_198_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_199_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_59_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_61_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
"Sheil et al. 2002_CIFOR_Indonesia_herbs_62_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs"
