"id_comm";"id_study"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p157_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p162_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p167_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p168_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p16_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p171_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p172_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p173_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p174_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p176_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p17_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p18_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p19_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p1_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p20_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p240_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p244_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p246_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
